regalCode;description;Retail Excl VAT;Trade Excl VAT;trade;retail;category;
SP55;ET500 - ACDC Gate Motor Kit - 4m Rack;5619.00;3933.00;4522.95;6461.85;aut;
SP56;ET500 - ACDC Gate Motor Kit - Nylon Rack;5719.00;4803.15;5523.6225;6576.85;aut;
SP58;Nice Drive 300 Motor Kit inc Batt & Rack;3781.00;3175.55;3651.8825;4348.15;aut;
SP59-1;Nice Drive 500 Motor Kit inc Batt & Rack;6200.00;4298.55;4943.3325;7130;aut;
SP61-1;Nice Drive 600 Motor Kit inc Batt & Rack;5529.00;4837.35;5562.9525;6358.35;aut;
SP57;ET Drive 1000 Motor Kit incl Batt & Rack;8880.00;7769.20;8934.58;10212;aut;
;NICE GENERAL ACCESSORIES;;;0;0;aut;
GA29-1;Nice Drive 500/600 Theft Resistant Brack;1036.00;870.24;1000.776;1191.4;aut;
GA29-3;Nice AC/DC Cover Incl Theft BrackNice Re;380.00;318.55;366.3325;437;aut;
GA29-4;Nice AC/DC Cover Incl Theft BrackNice Gr;387.00;324.45;373.1175;445.05;aut;
GA29-5;Nice Drive 1000 Theft Deterrent Bracket;1391.00;964.39;1109.0485;1599.65;aut;
GA29-6;Nice Drive 500 Cover Only;233.00;195.50;224.825;267.95;aut;
GA29-7;Nice Drive 600 Cover Only;233.00;195.50;224.825;267.95;aut;
GA29-10;Nice Drive 500 Gate Motor Base Plate Kit;190.00;159.52;183.448;218.5;aut;
GA107-13;Nice Drive 500/600 PCB in Housing;1433.40;1003.33;1153.8295;1648.41;aut;
GA107-18;Nice Drive 300 PCB;855.00;718.13;825.8495;983.25;aut;
GA107-4;Nice 500 Control Cards;1140.00;957.60;1101.24;1311;aut;
GEMINI GATE MOTORS;;;;0;0;aut;
RGA85;Gemini DC Slider Battery & Remotes Only;4229.22;3524.10;4052.715;4863.603;aut;
RGA85-1;Gemini DC Slider Motor Only;4119.00;2786.00;3203.9;4736.85;aut;
GA85;Gemini DC Slider Kit Batt Remotes & Rack;4499.00;3725.00;4283.75;5173.85;aut;
RGA86-1;Gemini DC Slider SEL 12A/H 142 Excl Stee;4988.00;3399.00;3908.85;5736.2;aut;
GA86-1;Gemini DC Slider SEL 12A/H 142 incl Rack;4618.65;3848.87;4426.2005;5311.4475;aut;
GA86-2;Gemini Slider Gate Motor 24V 5AH excl St;4656.95;3880.79;4462.9085;5355.4925;aut;
GA86-3;Gemini Complex Slider Gate Motor 24V 8AH;7959.69;6122.83;7041.2545;9153.6435;aut;
DACE GATE MOTORS;;;;0;0;aut;
SP90-1;DACE SPRINT 500 Sliding Motor HV Kit;4759.74;3388.93;3897.2695;5473.701;aut;
SP91;DACE CONDO Gate Motor Kit Incl Rack;5954.02;4364.30;5018.945;6847.123;aut;
GA111-1;DACE 12V Single Swing Pedestal Mnt Kit;5152.16;4121.73;4739.9895;5924.984;aut;
GA112-1;DACE 12V Single Swing Wall Mount Kit;5107.31;4085.85;4698.7275;5873.4065;aut;
;NICE-HANSA - SLIDING GATE MOTORS;;;0;0;aut;
GA53-2;HANSA SPEEDO 24V HD + 4m Steel Rack;12497.00;10496.70;12071.205;14371.55;aut;
GA53-6;HANSA SPEEDO 24V HD Incl Powerpack;12858.00;9000.00;10350;14786.7;aut;
GA230;"NICE ROBUS 250 Motor; Incl 24VDC Battery";3839.00;2687.00;3090.05;4414.85;aut;
;NICE-HANSA - SWING GATE MOTORS;;;0;0;aut;
GA67-5;HANSA - Elite Double Swing 24V HD kit;35685.00;29975.00;34471.25;41037.75;aut;
GA222;NICE TOONA 7m Double Swing 24VDC;22525.00;18921.00;21759.15;25903.75;aut;
;;;;0;0;aut;
Prices are subject to change without prior notice.;;;;0;0;aut;
E&OE. Valid until 31st March 2023.;Page: 22;;;0;0;aut;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;aut;
;;;;0;0;aut;
Trade Price List;;;;0;0;aut;
GATE AUTOMATION;;;;0;0;aut;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;aut;
;SENTRY - SLIDING GATE MOTOR;;;0;0;aut;
GA134;Sentry SGO6 Gate Motor Kit Batt + 2x Tx4;4000.00;3100.00;3565;4600;aut;
SP134;"Sentry SGO6 Motor Kit 2 x Tx4 Batt; Rack";5000.00;3499.00;4023.85;5750;aut;
GA134-9;Sentry SGO6 Motor Theft Deterrent Cage;711.00;514.00;591.1;817.65;aut;
GATE BEAMS;;;;0;0;aut;
BD06;GATE BEAM - Centurion 40M;460.00;322.00;370.3;529;aut;
BD09;GATE BEAM - Centurion PHOTON Wireless;912.86;639.00;734.85;1049.789;aut;
BD09-1;GATE BEAM - Centurion PHOTON Smart WL;954.29;668.00;768.2;1097.4335;aut;
BD05-2;GATE BEAM Nice Wave Semi-Wireless IR;564.00;473.27;544.2605;648.6;aut;
BD08-1;GATE BEAM Nice Infra Red Blue Eyes V2;351.00;294.84;339.066;403.65;aut;
BD05-4;GATE BEAM - Sentry 15M Wireles IP55;590.00;399.00;458.85;678.5;aut;
LOOP DETECTORS;;;;0;0;aut;
GA31-1;Loop Detector - 11 Pin Socket;65.00;45.00;51.75;74.75;aut;
GA31-3;Loop Detector - Single Channel 220V SS;570.00;399.00;458.85;655.5;aut;
GA31-4;Loop Detector - Dual 12 / 24VDC SS;856.00;599.00;688.85;984.4;aut;
GA31-6;Loop Detector - Single Channel 12V MD201;449.00;377.14;433.711;516.35;aut;
GA31-7;Loop Detector - FLUX SA 1Ch 12/24V AC/DC;705.71;494.00;568.1;811.5665;aut;
GA31-8;Loop Detector - FLUX 11 Pin 1Ch 12/24V;984.29;689.00;792.35;1131.9335;aut;
CB64;Cable Silicon 1.5mm Red / 100m - Loop;789.00;552.00;634.8;907.35;aut;
;INSTALLATION ACCESSORIES;;;0;0;aut;
GA26-4;D5 Theft Resistant Cage - Generic;713.00;499.00;573.85;819.95;aut;
LK79-3;Padlock - Insurance 70mm;385.00;269.00;309.35;442.75;aut;
LK79-4;Padlock - Discus 70mm;170.00;118.50;136.275;195.5;aut;
LK79-3-1;Padlock - Insurance 90mm;520.00;364.00;418.6;598;aut;
;;;;0;0;aut;
GA30;Gate Wheel Kit - 60mm  - V-Profile;231.00;161.20;185.38;265.65;aut;
GA30-2;Gate Wheel Kit - 60mm E/Plated;242.00;169.10;194.465;278.3;aut;
GA42;Gate Wheel Kit - 80mm  - V-Profile;296.00;207.00;238.05;340.4;aut;
GA42-1;Gate Wheel Kit - 80mm E/Plated;318.00;222.40;255.76;365.7;aut;
GA42-2;Gate Wheel Kit - 80mm U - Profile Elect;329.00;229.80;264.27;378.35;aut;
GA42-3;Gate Wheel Kit - 80mm Radius;307.00;214.40;246.56;353.05;aut;
GA42-4;Gate Wheel Kit - 100mm;692.00;484.40;557.06;795.8;aut;
GA42-6;Gate Shox Wheel Set 80mm Stainless Steel;2287.14;1601.00;1841.15;2630.211;aut;
GA33;Gate Nylon Guide Rollers / Pair;45.00;31.20;35.88;51.75;aut;
;Radius and Electro plated Wheel kit types also available;;;0;0;aut;
GA40;Rack-Steel 30x10mmx2m incl Brackets;388.00;284.00;326.6;446.2;aut;
GA39;Rack - RAZ Nylon 20mm x 0.5m;91.43;64.00;73.6;105.1445;aut;
GA18-1;Rack - Nylon Angle Galvanised / 2m;270.00;189.00;217.35;310.5;aut;
GA131;Sherlo Gate Alarm Code Hopping Tx 403MHz;351.00;245.56;282.394;403.65;aut;
GA132;Swing Gate Timer;423.65;319.20;367.08;487.1975;aut;
GA33-2;Gate Mate Brushes (Mr Sweepy);189.00;132.00;151.8;217.35;aut;
SW98;Isolator Switch 30Amp with W/Proof S/Box;219.00;152.90;175.835;251.85;aut;
;CENTURION - SOLAR ACCESSORIES;;;0;0;aut;
PS81;Solar Panel 40W Polycrystalline 18.2V 46;715.00;500.00;575;822.25;aut;
PS81-1;Solar Panel 60W 18.2V 630x670x30mm;1029.00;720.00;828;1183.35;aut;
PS81-2;Solar Panel 80W 18.2V 915x670x30mm;1150.00;910.00;1046.5;1322.5;aut;
PS83-3;Universal Solar Panel Brkt Kit 20W-80W;1357.00;949.60;1092.04;1560.55;aut;
PS45;Solar Regulator 12V/24V 20Amp;688.00;481.00;553.15;791.2;aut;
;;;;0;0;aut;
Prices are subject to change without prior notice.;;;;0;0;aut;
E&OE. Valid until 31st March 2023.;Page: 23;;;0;0;aut;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;aut;
;;;;0;0;aut;
Trade Price List;;;;0;0;aut;
GATE AUTOMATION;;;;0;0;aut;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;aut;
;REMOTES - Standard Range;;;0;0;aut;
SW44-1;Nice Tx 1 Button - Blu-Mix Rolling Code;160.00;110.61;127.2015;184;aut;
SW44-2;Nice Tx 2 Button - Blu-Mix Rolling Code;187.00;130.43;149.9945;215.05;aut;
SW44-4;Nice Tx 4 Button - Blu-Mix Rolling Code;156.00;141.88;163.162;179.4;aut;
SW44-6;Nice Tx 6 Button - Blu-Mix Rolling Code;165.00;149.54;171.971;189.75;aut;
SW56;Smart - 1 Button Tx 433 MHz;243.33;146.00;167.9;279.8295;aut;
SW56-6;Smart - 2 Button Tx 433 MHz;285.00;171.00;196.65;327.75;aut;
SW56-8;Smart - 4 Button Tx 433 MHz;355.00;213.00;244.95;408.25;aut;
SW56-1;Classic - 1 Button Tx 403 MHz;228.33;137.00;157.55;262.5795;aut;
SW56-1-1;Classic - 2 Button Tx 403 MHz;235.00;141.00;162.15;270.25;aut;
SW58-1;NOVA V3 1 Button SG Transmitter 433MHz;191.67;115.00;132.25;220.4205;aut;
SW58-2;NOVA V3 2 Button SG Transmitter 433MHz;250.00;150.00;172.5;287.5;aut;
SW58-4;NOVA V3 4 Button SG Transmitter 433MHz;308.33;185.00;212.75;354.5795;aut;
SW107;Sentry - 1 Button Tx Binary (403);152.00;98.00;112.7;174.8;aut;
SW107-1;Sentry - 3 Button Tx Binary (403);179.00;115.00;132.25;205.85;aut;
SW107-11;Sentry - 1 Button Tx Learn (403);147.00;95.00;109.25;169.05;aut;
SW107-12;Sentry - 3 Button Tx Learn (403);162.00;104.00;119.6;186.3;aut;
SW107-1-1;Sentry - 4 Button Tx Learn (403);197.00;111.00;127.65;226.55;aut;
SW107-13;Sentry - 4 Button Dual Tx Learn (Green);240.00;135.00;155.25;276;aut;
SW107-21;Sentry - 4 Button Code Hopping Tx 433 NC;216.00;122.00;140.3;248.4;aut;
SW107-22;Sentry - 6 Button Code Hopping Tx 433 NC;247.00;158.00;181.7;284.05;aut;
SW107-31;Sentry - 1 Button Code Hopping Tx 403 SC;152.00;98.00;112.7;174.8;aut;
SW107-34;Sentry - 4 Button Code Hopping Tx 403 SC;216.00;122.00;140.3;248.4;aut;
SW107-36;Sentry - 6 Button Code Hopping Tx 403 SC;247.00;158.00;181.7;284.05;aut;
SW81;Sherlo Tx 1 Button Code Hopping Key Ring;136.00;94.89;109.1235;156.4;aut;
SW81-1;Sherlo Tx 2 Button Code Hopping Key Ring;153.00;107.05;123.1075;175.95;aut;
SW81-3;Sherlo Tx 4 Button Code Hopping Key Ring;160.00;111.92;128.708;184;aut;
SW81-6;Sherlo Tx 6 Button Code Hopping Key Ring;167.00;116.80;134.32;192.05;aut;
SW84;Sherlo 6 Button Glow-in-Dark Keyring Tx;176.00;122.82;141.243;202.4;aut;
SW131;Digi - Tx 4 Button E-Key;260.00;182.00;209.3;299;aut;
SW23;MTQ 1 Button Tx Code Hop 433Mhz;132.41;110.34;126.891;152.2715;aut;
SW24;MTQ 3 Button Tx Code Hop 433Mhz;137.18;114.32;131.468;157.757;aut;
;;;;0;0;aut;
Prices are subject to change without prior notice.;;;;0;0;aut;
E&OE. Valid until 31st March 2023.;Page: 24;;;0;0;aut;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;aut;
;;;;0;0;aut;
Trade Price List;;;;0;0;aut;
GATE AUTOMATION;;;;0;0;aut;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;aut;
RECEIVERS - Standard Range;;;;0;0;aut;
SW42-2;Nice Rx 1 Channel - Learn 404MHz 40Bit;265.00;183.18;210.657;304.75;aut;
SW42-5;Nice Rx 1Channel - Rolling Code (434) Bl;260.00;179.76;206.724;299;aut;
SW42-7;Nice Multi-Receiver RX3 (TH ASSEMBLY);279.00;253.03;290.9845;320.85;aut;
SW43-2;Nice Micro Blu Mix Rolling Code Rx2;137.00;124.07;142.6805;157.55;aut;
SW45;Smart - 1 Channel Receiver 433 MHz;518.33;311.00;357.65;596.0795;aut;
SW46-2;Nova - 1 Channel Receiver 433 MHz;473.33;284.00;326.6;544.3295;aut;
SW46-3;Nova - 2 Channel Receiver 433 MHz;690.00;414.00;476.1;793.5;aut;
SW46-4-1;Nova - 4 Channel Receiver 433 MHz;823.33;494.00;568.1;946.8295;aut;
SW72-2;Sherlo Rx 1Ch 150m Code Hopping RX1-150;244.00;170.34;195.891;280.6;aut;
SW80-1;Sherlo Rx 2Ch 150m Code Hopping RX2-150;280.00;195.37;224.6755;322;aut;
SW72-5;Sherlo Rx 3Ch 150m Code Hopping RX3-150;301.00;210.58;242.167;346.15;aut;
SW108-3-1;Sentry - 1Ch Rx Binary/ Trinary/ French;226.00;133.00;152.95;259.9;aut;
SW132;Digi - 1 Channel Receiver E-Key;665.00;467.00;537.05;764.75;aut;
;TRANSMITTERS - Fixed - Standard Range;;;0;0;aut;
SW60;Centurion WiZo Link 12-24V 1 IO V1 TxR;615.93;430.40;494.96;708.3195;aut;
SW82-5;Sherlo Fixed Wireless Waterproof Tx CH;285.00;198.87;228.7005;327.75;aut;
SW82-6;Sherlo Elegant Wallmount Tx 100m 403MHz;216.00;151.11;173.7765;248.4;aut;
SW83;Sherlo 2 Channel PIR Transmitter PIR-TX;368.00;257.36;295.964;423.2;aut;
SW43-1;Nice Micro Blu Mix Rolling Code Tx2;141.00;127.55;146.6825;162.15;aut;
SW24-1;MTQ Gemini Wall Console Tx3 Code Hop 433;150.21;126.22;145.153;172.7415;aut;
TOWNHOUSE RECEIVERS;;;;0;0;aut;
SW80-9;Sherlo Rx 4000 User Complex Code Hopping;860.00;601.31;691.5065;989;aut;
SW108-8;Sentry - Complex Rx (1000ch);578.00;385.00;442.75;664.7;aut;
;;;;0;0;aut;
Prices are subject to change without prior notice.;;;;0;0;aut;
E&OE. Valid until 31st March 2023.;Page: 25;;;0;0;aut;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;aut;
;;;;0;0;aut;
Trade Price List;;;;0;0;aut;
GATE AUTOMATION;;;;0;0;aut;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;aut;
;REMOTES & RECEIVERS - Long Range;;;0;0;aut;
SW102;MAMI - RKU TG1 Tx 1Km;1015.00;680.00;782;1167.25;aut;
SW94-1;MAMI - 4 Ch Fixed Rx 1-3Km;2344.00;1570.00;1805.5;2695.6;aut;
SW95;MAMI - Aerial Folded Hog;407.20;285.00;327.75;468.28;aut;
SW135;Sherlo Tx 4 Ch 1.5Km Code HoppingS4;557.00;389.56;447.994;640.55;aut;
SW54;Sherlo Kit 200M L/Range SS5002;794.00;555.69;639.0435;913.1;aut;
SW55-1;Sherlo Tx 1Button Trinary ST4001P;201.00;140.39;161.4485;231.15;aut;
SW72;Sherlo 1Ch 500m Stand Alone Transmitter;255.00;178.26;204.999;293.25;aut;
SW80;Sherlo Rx 1Ch 500m Code Hopping RX1-500;435.00;304.16;349.784;500.25;aut;
SW80-4;Sherlo Rx 4Ch 500m Code Hopping RX4-500;470.00;328.50;377.775;540.5;aut;
SW81-7;Sherlo Tx 1 Button Code Hopping Pendant;155.00;108.27;124.5105;178.25;aut;
SW88-2;Sherlo Repeater Code Hopping RPT1-800;1217.00;851.21;978.8915;1399.55;aut;
SW43-6;Nice Weatherproof 2 Ch Long Range Tx;325.00;295.19;339.4685;373.75;aut;
SW43-7;Nice Weatherproof 2 Ch Long Range Rx;301.55;241.00;277.15;346.7825;aut;
SW71;Nice Tx 3 Ch O/Door High Power RC Dual 4;391.00;355.17;408.4455;449.65;aut;
SW43;Nice 1Ch Weatherproof Transceiver Repeat;451.00;315.37;362.6755;518.65;aut;
SW108-10;Sentry - M5 Superhet Receiver Module;150.00;113.00;129.95;172.5;aut;
SW108-17;Sentry - 4 Ch Long Range Transmitter 433;378.00;243.00;279.45;434.7;aut;
SW108-18;Sentry - 1 Ch Long Range Receiver 433;378.00;243.00;279.45;434.7;aut;
;REMOTES & RECEIVERS - Other;;;0;0;aut;
SW108-11;Sentry - 220V Light Rx Tx incl 1x4 BtnTx;800.00;580.00;667;920;aut;
SW108-12;Sentry - 12V Light Rx Tx Incl 1x4 Btn Tx;580.00;421.00;484.15;667;aut;
SW88-1;Sherlo 14 Channel Module 64 User;1043.00;729.99;839.4885;1199.45;aut;
SW72-3;Sherlo Rx Data Code HoppingASKDRX;452.00;316.33;363.7795;519.8;aut;
CP04-2;Sherlotronics Fixed Panic Panel Only;995.00;695.95;800.3425;1144.25;aut;
;;;;0;0;;
Prices are subject to change without prior notice.;;;;0;0;;
E&OE. Valid until 31st March 2023.;Page: 26;;;0;0;;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;;
;;;;0;0;;
Trade Price List;;;;0;0;;
INTRUSION;;;;0;0;;
;;;;0;0;;
INTRUSION;;;;0;0;;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;
;CONTROL PANELS AND MODULES;;;0;0;;
CP422B;Ajax Hub Plus black;7795.90;4610.10;5301.615;8965.285;intr;
CP422W;Ajax Hub Plus white;7723.00;4583.00;5270.45;8881.45;intr;
CP423B;Ajax Hub 2 Plus Black 200 Devices LTE Wi;8919.20;5237.70;6023.355;10257.08;intr;
CP423W;Ajax Hub 2 Plus white;8445.50;4959.50;5703.425;9712.325;intr;
CP424W;Ajax Hub 2 4G White;7793.20;4608.50;5299.775;8962.18;intr;
CP450W;Ajax StarterKit Cam Plus - Hub 2p + Moti;14033.90;8298.90;9543.735;16138.985;intr;
CP430W;Ajax Keypad white;2264.50;1334.00;1534.1;2604.175;intr;
CP430B;Ajax Keypad black;2248.00;1334.00;1534.1;2585.2;intr;
CP431B;Ajax Keypad Plus Black;2681.00;1574.40;1810.56;3083.15;intr;
CP431W;Ajax Keypad Plus White;2681.00;1574.40;1810.56;3083.15;intr;
CP440B;Ajax ReX black;2821.00;1674.00;1925.1;3244.15;intr;
CP440W;Ajax ReX white;2832.40;1674.90;1926.135;3257.26;intr;
CP441B;Ajax MultiTransmitter;3545.70;2096.70;2411.205;4077.555;intr;
CP442B;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;3933.00;2334.00;2684.1;4522.95;intr;
CP442W;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;3933.00;2334.00;2684.1;4522.95;intr;
CP443B;Ajax VHF Bridge Black;2841.30;1299.00;1493.85;3267.495;intr;
CP443W;Ajax VHF Bridge White;3005.00;1777.00;2043.55;3455.75;intr;
;"REMOTE CONTROLS; RELAYS; SWITCHES AND TRANSMITTERS";;;0;0;intr;
SW420B;Ajax Button black;705.00;418.00;480.7;810.75;intr;
SW420W;Ajax Button white;710.30;420.00;483;816.845;intr;
SW421B;Ajax Holder for Button/DoubleButton blac;131.40;77.70;89.355;151.11;intr;
SW421W;Ajax holder for Button;112.00;66.00;75.9;128.8;intr;
SW422B;Ajax Tag Black;134.40;78.90;90.735;154.56;intr;
SW422W;Ajax Tag White;134.40;78.90;90.735;154.56;intr;
SW424B;Ajax SpaceControl black;708.30;420.10;483.115;814.545;intr;
SW424W;Ajax SpaceControl white;710.50;420.10;483.115;817.075;intr;
SW425B;Ajax Card Black (10Pcs);1232.80;723.90;832.485;1417.72;intr;
SW426;Ajax Relay;1059.50;626.50;720.475;1218.425;intr;
SW427;Ajax Transmitter;1134.20;670.70;771.305;1304.33;intr;
SW423B;Ajax WallSwitch black;937.10;550.30;632.845;1077.665;intr;
SW428W;Ajax Socket white;1687.00;1001.00;1151.15;1940.05;intr;
SW429B;Ajax LeaksProtect Black;1072.40;629.80;724.27;1233.26;intr;
SW429W;Ajax LeaksProtect white;1072.40;629.80;724.27;1233.26;intr;
SW430;Ajax ocBridge Plus;1398.10;821.10;944.265;1607.815;intr;
SW431;Ajax uartBridge;726.60;426.70;490.705;835.59;intr;
;;;;0;0;intr;
Prices are subject to change without prior notice.;;;;0;0;intr;
E&OE. Valid until 31st March 2023.;Page: 27;;;0;0;intr;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;intr;
;;;;0;0;intr;
Trade Price List;;;;0;0;intr;
INTRUSION;;;;0;0;intr;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;intr;
POWER SUPPLY MODULES;;;;0;0;intr;
PS420;Ajax 12V PSU for Hub/Hub Plus /Rex;567.20;335.40;385.71;652.28;intr;
PS421;Ajax 12V PSU for Hub 2;567.20;335.40;385.71;652.28;intr;
PS422;Ajax 6V PSU for Hub 2 Plus;537.30;315.50;362.825;617.895;intr;
DOOR SENSORS;;;;0;0;intr;
MC420B;Ajax DoorProtect black;846.00;502.00;577.3;972.9;intr;
MC420W;Ajax DoorProtect white;799.00;474.00;545.1;918.85;intr;
MC420B;Ajax DoorProtect black;846.00;502.00;577.3;972.9;intr;
MC422W;Ajax DoorProtect Plus white;1273.60;753.10;866.065;1464.64;intr;
MOTION AND VIBRATION SENSORS;;;;0;0;intr;
BD420B;Ajax MotionProtect black;1257.40;751.80;864.57;1446.01;intr;
BD420W;Ajax MotionProtect white;1271.40;751.80;864.57;1462.11;intr;
BD422W;Ajax MotionProtect Plus white;1987.50;1175.30;1351.595;2285.625;intr;
BD423W;Ajax CombiProtect white;1987.50;1175.30;1351.595;2285.625;intr;
BD425W;Ajax MotionProtect Curtain white;1701.40;1006.10;1157.015;1956.61;intr;
BD426W;Ajax DualCurtain Outdoor white;4521.60;2673.80;3074.87;5199.84;intr;
BD426-9W;Ajax SmartBracket DualCurtain Out Wht;375.90;220.80;253.92;432.285;intr;
BD427W;Ajax MotionProtect Outdoor white;3684.30;2178.70;2505.505;4236.945;intr;
BD427-1W;Ajax Hood for MotionProtect Outdoor Whit;286.20;169.20;194.58;329.13;intr;
BD428B;Ajax GlassProtect black;1110.00;651.80;749.57;1276.5;intr;
BD428W;Ajax GlassProtect white;1110.00;651.80;749.57;1276.5;intr;
PIR AND CAMERAS INDOOR;;;;0;0;intr;
CC550W;Ajax MotionCam white;3232.00;1918.00;2205.7;3716.8;intr;
CC550B;Ajax MotionCam black;3085.20;1811.70;2083.455;3547.98;intr;
CC551B;Ajax MotionCam (PhOD) Black;3539.00;2100.00;2415;4069.85;intr;
CC551W;Ajax MotionCam (PhOD) White;3567.10;2109.40;2425.81;4102.165;intr;
CC552W;Ajax MotionCam White Outdoor;5671.00;3353.50;3856.525;6521.65;intr;
CC553W;Ajax MotionCam Outdoor (PhOD) White;6238.00;3688.80;4242.12;7173.7;intr;
CC552-9W;Ajax SmartBracket MotionCam Out Wht;337.40;199.50;229.425;388.01;intr;
SMOKE AND HEAT SENSORS;;;;0;0;intr;
FR420B;Ajax FireProtect black;1426.00;998.00;1147.7;1639.9;intr;
FR420W;Ajax FireProtect white;1701.40;1006.10;1157.015;1956.61;intr;
FR421B;Ajax FireProtect Plus Black (with CO);2531.00;1502.00;1727.3;2910.65;intr;
FR421W;Ajax FireProtect Plus White (with CO);2531.00;1502.00;1727.3;2910.65;intr;
WARNING DEVICES;;;;0;0;intr;
SD420B;Ajax HomeSiren black;1420.40;839.90;965.885;1633.46;intr;
SD420W;Ajax HomeSiren white;1420.70;840.10;966.115;1633.805;intr;
SD421B;Ajax StreetSiren black;2794.60;1667.00;1917.05;3213.79;intr;
SD421W;Ajax StreetSiren white;2833.40;1675.50;1926.825;3258.41;intr;
;Ajax Detectors use BA34-4 Lithium 3V C2R Batteries;;;0;0;intr;
;;;;0;0;intr;
Prices are subject to change without prior notice.;;;;0;0;intr;
E&OE. Valid until 31st March 2023.;Page: 28;;;0;0;intr;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;intr;
;;;;0;0;intr;
Trade Price List;;;;0;0;intr;
INTRUSION;;;;0;0;intr;
;;;;0;0;intr;
HUB TECHNICAL SPECIFICATIONS;;;;0;0;intr;
;;;;0;0;intr;
Prices are subject to change without prior notice.;;;;0;0;intr;
E&OE. Valid until 31st March 2023.;Page: 29;;;0;0;intr;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;intr;
;;;;0;0;intr;
Trade Price List;;;;0;0;intr;
"CONTROL PANELS; BEAMS; DETECTORS AND ACCESSORIES";;;;0;0;intr;
;;;;0;0;intr;
LightSYS2 - LightSYS Plus Base Kits;;;;0;0;intr;
;;;;0;0;intr;
CP220;"LightSYS2 Basic Kit -Keypad; PSU & Plast";2574.00;1761.00;2025.15;2960.1;intr;
CP221-K1;LightSYS Plus Kit 1 Standard PSU and Hou;3796.00;2595.00;2984.25;4365.4;intr;
CP221-K2;LightSYS Plus Kit 2 Large PSU and Housin;4747.00;3375.00;3881.25;5459.05;intr;
LightSYS2 - LightSYS Plus Keypads;;;;0;0;intr;
CP181-6;LightSYS LCD Keypad;1131.40;773.00;888.95;1301.11;intr;
CP181-8;"Elegant Keypad; White w/Prox";2939.00;2011.00;2312.65;3379.85;intr;
CP182-8;"Elegant Keypad; Black w/ Prox";2924.30;1998.00;2297.7;3362.945;intr;
CP181-9;Panda Wired Keypad without Prox;2088.00;1461.00;1680.15;2401.2;intr;
CP181-10;RisControl IPS Touchscreen KP;6594.00;4512.00;5188.8;7583.1;intr;
CP182-7;LightSYS Panda Wireless Keypad 868MHz;2608.00;1825.00;2098.75;2999.2;intr;
LightSYS2 - LightSYS Plus Expanded;;;;0;0;intr;
CP169;Expander Single Zone Bus;326.00;223.00;256.45;374.9;intr;
CP172-1;LightSYS2 & ProSYS Plus 4 Relay Output;1503.00;1028.00;1182.2;1728.45;intr;
CP179;LightSYS2 & ProSYS Plus 8 zone expander;838.00;573.00;658.95;963.7;intr;
CP189;LightSys & ProSys plus 32 Zone WL Rec 43;1353.00;935.00;1075.25;1555.95;intr;
CP189-1;LightSys & ProSys Plus 32 Zone WL Rec 86;1256.00;859.00;987.85;1444.4;intr;
CP182-10;Risco 2-Way Wireless Slim White Keypad;2297.00;1582.80;1820.22;2641.55;intr;
LightSYS2 - LightSYS Plus PSU;;;;0;0;intr;
CP174-1;PROSYS PSU Bus pcb Exp 3A 16VAC Input;2095.90;1432.00;1646.8;2410.285;intr;
CP174-2;"L & P 3A PSU w/ 2 outputs; Metal Box";3209.00;2196.00;2525.4;3690.35;intr;
CP174-3;Supervised 3A Power Supply PCB w/ 2 O;2507.00;1728.00;1987.2;2883.05;intr;
LightSYS2 - LightSYS Plus Connect;;;;0;0;intr;
CP184;ProSYS Plus & LightSYS IP Plug-in Module;1424.10;973.00;1118.95;1637.715;intr;
CP194;LightSYS2 Adaptor from panel to PC USB;3233.56;2263.49;2603.0135;3718.594;intr;
CP208-2;LightSYS Plus 4G Module + Antenna - EU;3124.00;2149.00;2471.35;3592.6;intr;
CP208-3;LightSYS2 4G Module plus Antenna;3170.00;2169.00;2494.35;3645.5;intr;
CP211;ProSYS Plus and LightSYS Plug-In IP Mod;792.00;549.00;631.35;910.8;intr;
LightSYS2 - Light5SYS Plus Component;;;;0;0;intr;
RCP220;LightSYS Main PCB Only;1495.00;1036.00;1191.4;1719.25;intr;
RCP220-1;LightSYS2 Polycarbonate Alarm Panel Box;268.79;188.15;216.3725;309.1085;intr;
RCP221;LightSYS Plus Main Board;3167.20;2164.00;2488.6;3642.28;intr;
